Round	cwnd
0	1.00
1	1.00
2	2.00
3	2.50
4	2.90
5	3.24
6	1.00
7	2.00
8	2.50
9	2.90
10	3.24
11	3.55
12	3.83
13	4.10
14	1.00
15	2.00
16	3.00
17	3.33
18	1.00
19	2.00
20	2.50
21	2.90
22	3.24
23	3.55
24	3.83
25	1.00
26	2.00
27	2.50
28	2.90
29	3.24
30	3.55
31	3.83
32	4.10
33	4.34
34	4.57
35	4.79
36	5.00
37	5.20
38	5.39
39	5.58
40	5.75
41	5.93
42	6.10
43	6.26
44	6.42
45	6.58
46	6.73
47	6.88
48	1.00
49	2.00
50	3.00
51	4.00
52	4.25
53	4.49
54	4.71
55	4.92
56	5.12
57	1.00
58	2.00
59	3.00
60	3.33
61	3.63
62	3.91
63	4.16
64	1.00
65	2.00
66	3.00
67	3.33
68	3.63
69	3.91
70	4.16
71	4.40
72	4.63
73	4.85
74	5.05
75	5.25
76	5.44
77	5.63
78	5.80
79	5.98
